SESSION; TIME;RPM;THROT;WATER;AIR;MAP;LAMB;L U SP;L D SP;TRAC %;VOLTS;SLIP%;INJ;ADV;LAUC S;SHIF A;L/Hr;L/100K;
1331 ;0:13.70 ;4377 ;7 ;95;34;65;0.903 ;19.7 ;21.2 ;0 ;13.2 ;7 ;4.32 ;27.7 ;0 ;0 ;7.2;36.5;
1331 ;0:13.80 ;4523 ;7 ;95;34;65;0.910 ;21.0 ;21.9 ;0 ;13.6 ;4 ;4.32 ;29.1 ;0 ;0 ;7.4;37.0;
1331 ;0:13.90 ;4575 ;7 ;95;34;64;0.904 ;21.8 ;22.2 ;0 ;13.3 ;1 ;4.32 ;29.6 ;0 ;0 ;7.5;34.4;
1331 ;0:14.00 ;4912 ;7 ;95;34;63;0.837 ;23.4 ;23.8 ;0 ;13.8 ;1 ;4.32 ;32.8 ;0 ;0 ;8.1;33.3;
1331 ;0:14.10 ;5305 ;7 ;95;34;63;0.787 ;25.1 ;25.7 ;0 ;13.6 ;2 ;4.32 ;37.5 ;0 ;0 ;8.6;34.2;
1331 ;0:14.20 ;4977 ;7 ;95;34;64;0.754 ;28.1 ;24.1 ;0 ;13.5 ;-14 ;4.32 ;33.4 ;0 ;0 ;8.1;28.8;
1331 ;0:14.30 ;5286 ;7 ;95;34;64;0.749 ;29.1 ;25.7 ;0 ;13.3 ;-11 ;4.32 ;37.2 ;0 ;0 ;8.6;29.5;
1331 ;0:14.40 ;5671 ;9 ;95;34;65;0.732 ;30.9 ;27.5 ;0 ;13.4 ;-11 ;4.17 ;46.2 ;0 ;0 ;8.9;28.8;
1331 ;0:14.50 ;5885 ;14 ;95;34;67;0.714 ;30.0 ;28.6 ;0 ;13.7 ;-4 ;3.90 ;51.8 ;0 ;0 ;8.6;27.8;
1331 ;0:14.60 ;6019 ;14 ;95;34;67;0.717 ;30.1 ;29.2 ;0 ;13.5 ;-2 ;3.86 ;53.5 ;0 ;0 ;8.8;29.2;
1331 ;0:14.70 ;5718 ;15 ;95;34;68;0.734 ;30.6 ;27.8 ;0 ;13.3 ;-9 ;3.79 ;46.9 ;0 ;0 ;8.2;27.3;
1331 ;0:14.80 ;5846 ;15 ;95;34;68;0.723 ;30.2 ;28.4 ;0 ;13.3 ;-5 ;3.78 ;48.4 ;0 ;0 ;8.3;27.4;
1331 ;0:14.90 ;5617 ;15 ;95;34;68;0.732 ;29.4 ;27.3 ;0 ;13.2 ;-7 ;3.82 ;45.7 ;0 ;0 ;8.1;27.2;
1331 ;0:15.00 ;5971 ;15 ;95;34;68;0.740 ;29.9 ;29.0 ;0 ;13.4 ;-3 ;3.75 ;49.8 ;0 ;0 ;8.5;27.5;
1331 ;0:15.10 ;5844 ;14 ;95;34;70;0.715 ;28.6 ;28.2 ;0 ;13.3 ;-1 ;3.91 ;50.8 ;0 ;0 ;8.6;29.3;
1331 ;0:15.20 ;5144 ;14 ;95;34;70;0.724 ;27.7 ;25.0 ;0 ;13.6 ;-9 ;4.02 ;41.2 ;0 ;0 ;7.8;26.7;
1331 ;0:15.30 ;5673 ;14 ;95;34;70;0.720 ;26.1 ;27.5 ;0 ;13.5 ;5 ;3.94 ;48.8 ;0 ;0 ;8.4;32.1;
1331 ;0:15.40 ;5240 ;14 ;95;34;70;0.737 ;25.0 ;25.4 ;0 ;13.5 ;1 ;4.01 ;42.6 ;0 ;0 ;7.9;31.6;
1331 ;0:15.50 ;5479 ;14 ;95;34;69;0.745 ;27.0 ;26.6 ;0 ;13.5 ;-1 ;3.97 ;46.0 ;0 ;0 ;8.2;30.3;
1331 ;0:15.60 ;5403 ;13 ;95;34;69;0.749 ;24.5 ;26.2 ;0 ;13.4 ;6 ;4.09 ;46.5 ;0 ;0 ;8.3;32.5;
1331 ;0:15.70 ;5275 ;13 ;95;34;69;0.757 ;25.4 ;25.6 ;0 ;13.5 ;0 ;4.11 ;44.3 ;0 ;0 ;8.2;32.2;
1331 ;0:15.80 ;5453 ;13 ;95;34;68;0.765 ;21.3 ;26.5 ;9 ;13.4 ;24 ;4.08 ;47.4 ;0 ;0 ;8.4;36.6;
1331 ;0:15.90 ;5488 ;13 ;95;34;67;0.743 ;24.8 ;26.6 ;0 ;13.6 ;7 ;4.08 ;47.9 ;0 ;0 ;8.5;42.9;
1331 ;0:16.00 ;5534 ;13 ;95;34;67;0.734 ;21.9 ;26.9 ;7 ;13.4 ;22 ;4.07 ;48.7 ;0 ;0 ;8.5;38.8;
1331 ;0:16.10 ;5522 ;12 ;95;34;67;0.742 ;24.7 ;26.8 ;0 ;13.5 ;8 ;4.10 ;47.3 ;0 ;0 ;8.5;34.4;
1331 ;0:16.20 ;5839 ;12 ;95;34;67;0.732 ;25.4 ;28.3 ;0 ;13.8 ;11 ;4.07 ;52.6 ;0 ;0 ;9.0;35.4;
1331 ;0:16.30 ;5737 ;14 ;95;34;69;0.730 ;23.6 ;27.8 ;2 ;13.7 ;17 ;3.92 ;49.7 ;0 ;0 ;8.6;36.4;
1331 ;0:16.40 ;5329 ;14 ;95;34;72;0.724 ;25.7 ;25.9 ;0 ;13.6 ;0 ;3.99 ;43.8 ;0 ;0 ;8.0;29.7;
1331 ;0:16.50 ;5331 ;15 ;95;34;70;0.721 ;28.0 ;25.9 ;0 ;13.5 ;-7 ;3.87 ;42.5 ;0 ;0 ;7.8;29.8;
1331 ;0:16.60 ;5630 ;16 ;95;34;69;0.718 ;28.3 ;27.3 ;0 ;13.5 ;-3 ;3.70 ;43.7 ;0 ;0 ;7.9;27.9;
1331 ;0:16.70 ;5815 ;16 ;95;34;68;0.712 ;29.2 ;28.2 ;0 ;13.7 ;-3 ;3.66 ;45.3 ;0 ;0 ;8.0;27.3;
1331 ;0:16.80 ;5739 ;15 ;95;34;68;0.742 ;28.6 ;27.9 ;0 ;13.4 ;-2 ;3.79 ;47.1 ;0 ;0 ;8.2;28.6;
