SESSION; TIME;RPM;THROT;WATER;AIR;MAP;LAMB;L U SP;L D SP;TRAC %;VOLTS;SLIP%;INJ;ADV;SHIF A;
1361 ;31:18,30 ;6903 ;30 ;97;27;75;0,808 ;26,2 ;33,5 ;24 ;12,4 ;27 ;3,77 ;46,5 ;0 ;
1361 ;31:18,40 ;6903 ;30 ;97;27;75;0,808 ;26,2 ;33,5 ;24 ;12,4 ;27 ;3,77 ;46,5 ;0 ;
1361 ;31:18,50 ;6810 ;31 ;97;27;75;0,796 ;27,9 ;33,1 ;11 ;12,5 ;18 ;3,85 ;44,6 ;0 ;
1361 ;31:18,60 ;6810 ;31 ;97;27;75;0,796 ;27,9 ;33,1 ;11 ;12,5 ;18 ;3,85 ;44,6 ;0 ;
1361 ;31:18,70 ;6578 ;29 ;97;27;75;0,828 ;25,7 ;31,9 ;20 ;12,5 ;24 ;3,81 ;42,9 ;0 ;
1361 ;31:18,80 ;6578 ;29 ;97;27;75;0,828 ;25,7 ;31,9 ;20 ;12,5 ;24 ;3,81 ;42,9 ;0 ;
1361 ;31:18,90 ;6611 ;29 ;97;27;76;0,800 ;25,1 ;32,1 ;24 ;12,5 ;27 ;3,80 ;43,4 ;0 ;
1361 ;31:19,00 ;6611 ;29 ;97;27;76;0,800 ;25,1 ;32,1 ;24 ;12,5 ;27 ;3,80 ;43,4 ;0 ;
1361 ;31:19,10 ;6353 ;29 ;97;27;77;0,797 ;23,1 ;30,8 ;25 ;12,6 ;33 ;3,87 ;40,0 ;0 ;
1361 ;31:19,20 ;6353 ;29 ;97;27;77;0,797 ;23,1 ;30,8 ;25 ;12,6 ;33 ;3,87 ;40,0 ;0 ;
1361 ;31:19,30 ;6129 ;28 ;97;27;76;0,812 ;23,7 ;29,7 ;21 ;12,5 ;25 ;3,87 ;37,3 ;0 ;
1361 ;31:19,40 ;6129 ;28 ;97;27;76;0,812 ;23,7 ;29,7 ;21 ;12,5 ;25 ;3,87 ;37,3 ;0 ;
1361 ;31:19,50 ;6281 ;26 ;97;27;73;0,916 ;25,4 ;30,5 ;14 ;12,5 ;20 ;3,72 ;40,0 ;0 ;
1361 ;31:19,60 ;6281 ;26 ;97;27;73;0,916 ;25,4 ;30,5 ;14 ;12,5 ;20 ;3,72 ;40,0 ;0 ;
1361 ;31:19,70 ;5866 ;25 ;97;27;71;0,962 ;24,7 ;28,5 ;7 ;12,6 ;15 ;3,77 ;35,6 ;0 ;
1361 ;31:19,80 ;5866 ;25 ;97;27;71;0,962 ;24,7 ;28,5 ;7 ;12,6 ;15 ;3,77 ;35,6 ;0 ;
1361 ;31:19,90 ;5524 ;18 ;97;27;63;0,961 ;25,3 ;26,8 ;0 ;12,4 ;5 ;3,50 ;38,8 ;0 ;
1361 ;31:20,00 ;5524 ;18 ;97;27;63;0,961 ;25,3 ;26,8 ;0 ;12,4 ;5 ;3,50 ;38,8 ;0 ;
1361 ;31:20,10 ;5603 ;11 ;97;27;58;0,966 ;13,4 ;27,2 ;25 ;12,6 ;102 ;4,16 ;47,5 ;0 ;
1361 ;31:20,20 ;5603 ;11 ;97;27;58;0,966 ;13,4 ;27,2 ;25 ;12,6 ;102 ;4,16 ;47,5 ;0 ;
