SESSION; TIME;RPM;THROT;LAMB;L U SP;L D SP;SLIP%;SHIF A;
152 ;0:02.66 ;2687 ;0 ;0.844 ;1.4 ;0.0 ;0 ;0 ;
152 ;0:02.67 ;2717 ;0 ;0.840 ;1.4 ;0.0 ;0 ;0 ;
152 ;0:02.68 ;2753 ;0 ;0.844 ;1.4 ;0.0 ;0 ;0 ;
152 ;0:02.69 ;2801 ;0 ;0.845 ;1.4 ;0.0 ;0 ;0 ;
152 ;0:02.70 ;2780 ;0 ;0.849 ;1.4 ;0.0 ;0 ;0 ;
152 ;0:02.71 ;2809 ;0 ;0.845 ;1.4 ;0.0 ;0 ;0 ;
152 ;0:02.72 ;2822 ;0 ;0.842 ;1.4 ;0.0 ;0 ;0 ;
152 ;0:02.73 ;2816 ;0 ;0.840 ;1.4 ;0.0 ;0 ;0 ;
152 ;0:02.74 ;2835 ;0 ;0.841 ;1.4 ;0.0 ;0 ;0 ;
152 ;0:02.75 ;2818 ;0 ;0.842 ;1.4 ;0.0 ;0 ;0 ;
152 ;0:02.76 ;2833 ;0 ;0.839 ;1.4 ;0.0 ;0 ;0 ;
152 ;0:02.77 ;2847 ;0 ;0.843 ;1.4 ;0.0 ;0 ;0 ;
152 ;0:02.78 ;2825 ;0 ;0.839 ;1.4 ;0.0 ;0 ;0 ;
152 ;0:02.79 ;2860 ;0 ;0.842 ;1.4 ;0.0 ;0 ;0 ;
152 ;0:02.80 ;2860 ;0 ;0.834 ;1.4 ;0.0 ;0 ;0 ;
152 ;0:02.81 ;2862 ;0 ;0.836 ;1.4 ;0.0 ;0 ;0 ;
152 ;0:02.82 ;2860 ;0 ;0.833 ;1.4 ;0.0 ;0 ;0 ;
152 ;0:02.83 ;2888 ;0 ;0.832 ;1.4 ;0.0 ;0 ;0 ;
152 ;0:02.84 ;2879 ;0 ;0.833 ;1.4 ;0.0 ;0 ;0 ;
152 ;0:02.85 ;2902 ;0 ;0.832 ;1.4 ;0.0 ;0 ;0 ;
152 ;0:02.86 ;2913 ;0 ;0.838 ;1.4 ;0.0 ;0 ;0 ;
