SESSION; TIME;RPM;THROT;LAMB;TAR LB;INJ;INJ %;
399 ;2:02.81 ;6793 ;21 ;0.705 ;0.850 ;4.97 ;28 ;
399 ;2:02.82 ;6952 ;21 ;0.711 ;0.850 ;4.85 ;28 ;
399 ;2:02.83 ;6993 ;21 ;0.711 ;0.850 ;4.82 ;28 ;
399 ;2:02.84 ;6980 ;21 ;0.709 ;0.850 ;4.82 ;28 ;
399 ;2:02.85 ;7062 ;21 ;0.708 ;0.850 ;4.84 ;28 ;
399 ;2:02.86 ;7075 ;21 ;0.709 ;0.850 ;4.85 ;28 ;
399 ;2:02.87 ;7046 ;21 ;0.707 ;0.850 ;4.83 ;28 ;
399 ;2:02.88 ;7083 ;21 ;0.706 ;0.850 ;4.85 ;28 ;
399 ;2:02.89 ;7017 ;22 ;0.712 ;0.850 ;4.89 ;28 ;
399 ;2:02.90 ;6944 ;21 ;0.703 ;0.850 ;4.86 ;28 ;
399 ;2:02.91 ;6954 ;22 ;0.710 ;0.850 ;4.93 ;28 ;
399 ;2:02.92 ;6906 ;22 ;0.710 ;0.850 ;4.96 ;28 ;
399 ;2:02.93 ;6870 ;22 ;0.704 ;0.850 ;5.03 ;28 ;
399 ;2:02.94 ;6781 ;22 ;0.696 ;0.850 ;5.05 ;28 ;
399 ;2:02.95 ;6747 ;22 ;0.696 ;0.850 ;5.07 ;28 ;
399 ;2:02.96 ;6689 ;22 ;0.701 ;0.850 ;5.10 ;28 ;
399 ;2:02.97 ;6828 ;22 ;0.693 ;0.850 ;5.02 ;29 ;
399 ;2:02.98 ;7019 ;22 ;0.698 ;0.850 ;4.89 ;29 ;
399 ;2:02.99 ;7064 ;22 ;0.697 ;0.850 ;4.92 ;29 ;
399 ;2:03.00 ;7099 ;22 ;0.697 ;0.850 ;4.94 ;29 ;
399 ;2:03.01 ;7040 ;22 ;0.697 ;0.850 ;4.90 ;29 ;
399 ;2:03.02 ;6957 ;22 ;0.709 ;0.850 ;4.93 ;28 ;
399 ;2:03.03 ;6843 ;22 ;0.706 ;0.850 ;5.02 ;28 ;
399 ;2:03.04 ;6883 ;22 ;0.704 ;0.850 ;4.98 ;29 ;
399 ;2:03.05 ;6939 ;22 ;0.710 ;0.850 ;4.94 ;29 ;
399 ;2:03.06 ;7001 ;22 ;0.705 ;0.850 ;4.88 ;28 ;
399 ;2:03.07 ;7030 ;22 ;0.708 ;0.850 ;4.89 ;28 ;
399 ;2:03.08 ;6975 ;22 ;0.708 ;0.850 ;4.90 ;28 ;
399 ;2:03.09 ;6941 ;22 ;0.708 ;0.850 ;4.94 ;28 ;
399 ;2:03.10 ;6845 ;22 ;0.714 ;0.850 ;5.00 ;28 ;
399 ;2:03.11 ;6900 ;22 ;0.716 ;0.850 ;4.97 ;28 ;
399 ;2:03.12 ;6863 ;22 ;0.718 ;0.850 ;4.99 ;28 ;
399 ;2:03.13 ;6833 ;22 ;0.711 ;0.850 ;5.01 ;28 ;
399 ;2:03.14 ;6893 ;22 ;0.716 ;0.850 ;4.97 ;28 ;
399 ;2:03.15 ;6965 ;22 ;0.716 ;0.850 ;4.92 ;29 ;
399 ;2:03.16 ;6975 ;22 ;0.716 ;0.850 ;4.90 ;28 ;
399 ;2:03.17 ;6983 ;22 ;0.714 ;0.850 ;4.90 ;28 ;
399 ;2:03.18 ;7033 ;22 ;0.716 ;0.850 ;4.89 ;28 ;
