SESSION; TIME;RPM;THROT;LAMB;L U SP;L D SP;TAR LB;SLIP%;INJ;ADV;LAUC S;SHIF A;INJ %;L/100K;
147 ;1:16.70 ;2790 ;0 ;0.908 ;14.2 ;0.0 ;0.900 ;0 ;2.65 ;7.5 ;0 ;0 ;6 ;19.7;
147 ;1:16.80 ;2858 ;0 ;0.897 ;13.8 ;0.0 ;0.900 ;0 ;2.64 ;7.7 ;0 ;0 ;6 ;18.9;
147 ;1:16.90 ;2807 ;0 ;0.895 ;13.5 ;0.0 ;0.900 ;0 ;2.65 ;7.6 ;0 ;0 ;6 ;17.6;
147 ;1:17.00 ;2702 ;0 ;0.897 ;15.0 ;0.0 ;0.900 ;0 ;2.67 ;7.4 ;0 ;0 ;6 ;18.3;
147 ;1:17.10 ;2634 ;0 ;0.882 ;15.6 ;0.0 ;0.900 ;0 ;2.68 ;7.2 ;0 ;0 ;6 ;17.3;
147 ;1:17.20 ;2796 ;0 ;0.870 ;15.0 ;0.0 ;0.900 ;0 ;2.65 ;7.5 ;0 ;0 ;6 ;18.5;
147 ;1:17.30 ;3258 ;0 ;0.857 ;14.8 ;0.0 ;0.900 ;0 ;2.65 ;8.7 ;0 ;0 ;7 ;23.9;
147 ;1:17.40 ;3425 ;0 ;0.850 ;15.7 ;0.0 ;0.900 ;0 ;2.69 ;9.2 ;0 ;0 ;7 ;23.0;
147 ;1:17.50 ;3440 ;0 ;0.851 ;16.5 ;0.0 ;0.900 ;0 ;2.69 ;9.3 ;0 ;0 ;7 ;20.0;
147 ;1:17.60 ;3020 ;0 ;0.842 ;17.6 ;0.0 ;0.900 ;0 ;2.61 ;8.0 ;0 ;0 ;6 ;18.4;
147 ;1:17.70 ;3159 ;0 ;0.834 ;17.1 ;0.0 ;0.900 ;0 ;2.64 ;8.4 ;0 ;0 ;7 ;18.3;
147 ;1:17.80 ;3479 ;0 ;0.814 ;17.3 ;0.0 ;0.900 ;0 ;2.70 ;9.4 ;0 ;0 ;7 ;20.8;
147 ;1:17.90 ;3756 ;0 ;0.818 ;16.9 ;0.0 ;0.900 ;0 ;2.75 ;10.2 ;0 ;0 ;8 ;22.9;
147 ;1:18.00 ;3757 ;0 ;0.824 ;17.5 ;0.0 ;0.900 ;0 ;2.75 ;10.2 ;0 ;0 ;8 ;21.7;
147 ;1:18.10 ;3671 ;0 ;0.793 ;17.9 ;0.0 ;0.900 ;0 ;2.73 ;10.0 ;0 ;0 ;8 ;20.1;
147 ;1:18.20 ;3559 ;0 ;0.783 ;18.8 ;0.0 ;0.900 ;0 ;2.71 ;9.6 ;0 ;0 ;8 ;19.7;
147 ;1:18.30 ;3781 ;0 ;0.775 ;19.5 ;0.0 ;0.900 ;0 ;2.75 ;10.3 ;0 ;0 ;8 ;21.1;
147 ;1:18.40 ;4052 ;0 ;0.781 ;18.7 ;0.0 ;0.900 ;0 ;2.80 ;11.2 ;0 ;0 ;9 ;21.8;
147 ;1:18.50 ;4206 ;0 ;0.793 ;20.8 ;0.0 ;0.900 ;0 ;2.78 ;11.8 ;0 ;0 ;9 ;21.3;
147 ;1:18.60 ;4340 ;0 ;0.831 ;20.9 ;0.0 ;0.900 ;0 ;2.77 ;12.3 ;0 ;0 ;10 ;21.1;
147 ;1:18.70 ;4427 ;0 ;0.873 ;21.3 ;0.0 ;0.900 ;0 ;2.76 ;12.7 ;0 ;0 ;10 ;21.1;
147 ;1:18.80 ;4404 ;0 ;0.850 ;22.5 ;0.0 ;0.900 ;0 ;2.76 ;12.6 ;0 ;0 ;10 ;19.6;
147 ;1:18.90 ;4597 ;0 ;0.857 ;23.9 ;0.0 ;0.900 ;0 ;2.75 ;13.3 ;0 ;0 ;10 ;20.8;
147 ;1:19.00 ;4926 ;0 ;0.846 ;25.0 ;0.0 ;0.900 ;0 ;2.71 ;14.7 ;0 ;0 ;11 ;20.2;
147 ;1:19.10 ;5237 ;0 ;0.841 ;27.2 ;0.0 ;0.900 ;0 ;2.70 ;16.1 ;0 ;0 ;11 ;20.6;
147 ;1:19.20 ;5522 ;0 ;0.849 ;27.3 ;0.0 ;0.900 ;0 ;2.70 ;17.6 ;0 ;0 ;12 ;20.6;
147 ;1:19.30 ;5380 ;0 ;0.835 ;28.1 ;0.0 ;0.900 ;0 ;2.70 ;16.9 ;0 ;0 ;12 ;20.3;
147 ;1:19.40 ;5555 ;0 ;0.847 ;28.6 ;0.0 ;0.900 ;0 ;2.70 ;17.7 ;0 ;0 ;12 ;18.4;
147 ;1:19.50 ;4949 ;0 ;0.860 ;31.4 ;0.0 ;0.900 ;0 ;2.71 ;14.7 ;0 ;0 ;11 ;15.2;
147 ;1:19.60 ;5093 ;0 ;0.866 ;33.4 ;0.0 ;0.900 ;0 ;2.70 ;15.4 ;0 ;0 ;11 ;14.9;
147 ;1:19.70 ;5409 ;0 ;0.875 ;35.6 ;0.0 ;0.900 ;0 ;2.70 ;17.0 ;0 ;0 ;12 ;14.4;
147 ;1:19.80 ;4867 ;0 ;0.906 ;37.5 ;0.0 ;0.900 ;0 ;2.72 ;14.4 ;0 ;0 ;11 ;12.3;
147 ;1:19.90 ;4639 ;0 ;0.941 ;37.9 ;0.0 ;0.900 ;0 ;2.74 ;13.5 ;0 ;0 ;10 ;12.0;
147 ;1:20.00 ;4986 ;0 ;0.989 ;42.3 ;0.0 ;0.900 ;0 ;2.71 ;14.9 ;0 ;0 ;11 ;12.5;
147 ;1:20.10 ;5166 ;0 ;1.003 ;41.6 ;0.0 ;0.900 ;0 ;2.70 ;15.8 ;0 ;0 ;11 ;12.1;
147 ;1:20.20 ;5275 ;0 ;1.013 ;45.9 ;0.0 ;0.900 ;0 ;2.70 ;16.3 ;0 ;0 ;11 ;11.5;
