SESSION; TIME;RPM;THROT;LAMB;L U SP;L D SP;TAR LB;SLIP%;INJ;ADV;SHIF A;INJ %;L/100K;
131 ;0:57.40 ;7148 ;47 ;0.786 ;39.8 ;0.0 ;0.900 ;0 ;5.75 ;44.3 ;0 ;34 ;41.1;
131 ;0:57.50 ;7078 ;48 ;1.194 ;39.0 ;0.0 ;0.900 ;0 ;5.74 ;43.4 ;0 ;33 ;43.0;
131 ;0:57.60 ;6371 ;48 ;0.697 ;34.4 ;0.0 ;0.900 ;0 ;6.09 ;37.1 ;0 ;32 ;45.1;
131 ;0:57.70 ;7167 ;48 ;0.717 ;36.9 ;0.0 ;0.900 ;0 ;5.77 ;44.1 ;0 ;34 ;47.7;
131 ;0:57.80 ;7102 ;47 ;0.741 ;32.7 ;0.0 ;0.900 ;0 ;5.74 ;43.9 ;0 ;34 ;42.1;
131 ;0:57.90 ;6368 ;44 ;0.783 ;32.4 ;0.0 ;0.900 ;0 ;6.04 ;37.8 ;0 ;32 ;47.0;
131 ;0:58.00 ;6208 ;41 ;0.783 ;30.6 ;0.0 ;0.900 ;0 ;6.10 ;36.8 ;0 ;31 ;47.2;
131 ;0:58.10 ;6065 ;39 ;0.706 ;28.9 ;0.0 ;0.900 ;0 ;6.11 ;35.5 ;0 ;31 ;45.0;
131 ;0:58.20 ;5613 ;29 ;0.699 ;28.0 ;0.0 ;0.900 ;0 ;5.87 ;35.1 ;0 ;27 ;36.0;
131 ;0:58.30 ;5530 ;17 ;0.703 ;29.1 ;0.0 ;0.900 ;0 ;5.03 ;40.8 ;0 ;23 ;33.5;
131 ;0:58.40 ;5597 ;15 ;0.719 ;29.1 ;0.0 ;0.900 ;0 ;4.55 ;45.5 ;0 ;21 ;31.5;
131 ;0:58.50 ;5647 ;14 ;0.728 ;29.2 ;0.0 ;0.900 ;0 ;4.30 ;48.4 ;0 ;20 ;31.9;
131 ;0:58.60 ;5590 ;14 ;0.720 ;28.5 ;0.0 ;0.900 ;0 ;4.32 ;47.6 ;0 ;20 ;30.1;
131 ;0:58.70 ;5198 ;13 ;0.730 ;29.1 ;0.0 ;0.900 ;0 ;4.19 ;43.0 ;0 ;18 ;29.7;
131 ;0:58.80 ;4956 ;12 ;0.724 ;26.9 ;0.0 ;0.900 ;0 ;4.21 ;38.2 ;0 ;17 ;28.4;
131 ;0:58.90 ;4885 ;12 ;0.718 ;27.4 ;0.0 ;0.900 ;0 ;4.21 ;37.5 ;0 ;17 ;27.6;
131 ;0:59.00 ;4620 ;11 ;0.736 ;26.6 ;0.0 ;0.900 ;0 ;4.19 ;34.0 ;0 ;16 ;28.1;
131 ;0:59.10 ;4712 ;11 ;0.718 ;26.6 ;0.0 ;0.900 ;0 ;4.19 ;34.9 ;0 ;16 ;27.0;
131 ;0:59.20 ;4579 ;11 ;0.730 ;26.6 ;0.0 ;0.900 ;0 ;4.19 ;33.6 ;0 ;16 ;29.2;
131 ;0:59.30 ;4748 ;11 ;0.752 ;25.6 ;0.0 ;0.900 ;0 ;4.19 ;35.2 ;0 ;16 ;27.9;
131 ;0:59.40 ;4678 ;11 ;0.786 ;26.5 ;0.0 ;0.900 ;0 ;4.19 ;34.9 ;0 ;16 ;29.1;
131 ;0:59.50 ;4739 ;11 ;0.791 ;26.0 ;0.0 ;0.900 ;0 ;4.19 ;35.1 ;0 ;16 ;28.1;
131 ;0:59.60 ;4621 ;11 ;0.784 ;25.9 ;0.0 ;0.900 ;0 ;4.19 ;34.0 ;0 ;16 ;27.6;
131 ;0:59.70 ;4374 ;10 ;0.791 ;24.6 ;0.0 ;0.900 ;0 ;4.18 ;30.6 ;0 ;15 ;27.3;
131 ;0:59.80 ;4270 ;10 ;0.796 ;24.9 ;0.0 ;0.900 ;0 ;4.18 ;29.6 ;0 ;14 ;29.6;
131 ;0:59.90 ;4414 ;10 ;0.770 ;23.6 ;0.0 ;0.900 ;0 ;4.18 ;31.0 ;0 ;15 ;32.1;
131 ;1:00.00 ;4489 ;10 ;0.765 ;22.1 ;0.0 ;0.900 ;0 ;4.18 ;31.7 ;0 ;15 ;25.4;
131 ;1:00.10 ;3685 ;9 ;0.765 ;22.8 ;0.0 ;0.900 ;0 ;4.18 ;24.9 ;0 ;12 ;23.8;
131 ;1:00.20 ;3703 ;6 ;0.771 ;23.7 ;0.0 ;0.900 ;0 ;3.89 ;21.8 ;0 ;12 ;28.1;
131 ;1:00.30 ;4368 ;5 ;0.836 ;23.1 ;0.0 ;0.900 ;0 ;3.75 ;25.8 ;0 ;13 ;26.0;
131 ;1:00.40 ;4156 ;4 ;0.815 ;21.9 ;0.0 ;0.900 ;0 ;3.61 ;23.2 ;0 ;12 ;20.4;
131 ;1:00.50 ;3846 ;3 ;0.809 ;24.0 ;0.0 ;0.900 ;0 ;3.36 ;18.3 ;0 ;10 ;18.9;
131 ;1:00.60 ;3945 ;2 ;0.829 ;24.3 ;0.0 ;0.900 ;0 ;3.12 ;16.2 ;0 ;10 ;18.7;
131 ;1:00.70 ;4203 ;1 ;0.838 ;24.9 ;0.0 ;0.900 ;0 ;2.89 ;14.7 ;0 ;10 ;17.9;
