SESSION; TIME;RPM;THROT;LAMB;L U SP;L D SP;SLIP%;INJ;
457 ;0:02.65 ;4195 ;0 ;0.850 ;9.0 ;0.0 ;0 ;2.84 ;
457 ;0:02.66 ;4175 ;0 ;0.845 ;9.0 ;0.0 ;0 ;2.84 ;
457 ;0:02.67 ;4157 ;0 ;0.848 ;9.0 ;0.0 ;0 ;2.84 ;
457 ;0:02.68 ;4109 ;0 ;0.847 ;8.7 ;0.0 ;0 ;2.84 ;
457 ;0:02.69 ;4014 ;0 ;0.845 ;8.7 ;0.0 ;0 ;2.86 ;
457 ;0:02.70 ;3973 ;0 ;0.846 ;8.7 ;0.0 ;0 ;2.87 ;
457 ;0:02.71 ;3942 ;0 ;0.894 ;8.7 ;0.0 ;0 ;2.87 ;
457 ;0:02.72 ;3872 ;0 ;0.893 ;8.5 ;0.0 ;0 ;2.88 ;
457 ;0:02.73 ;3869 ;0 ;0.894 ;8.5 ;0.0 ;0 ;2.88 ;
457 ;0:02.74 ;3844 ;0 ;0.899 ;8.5 ;0.0 ;0 ;2.88 ;
457 ;0:02.75 ;3786 ;0 ;0.895 ;8.7 ;0.0 ;0 ;2.89 ;
